article;name_code;color_code;pattern_code;image_path;composition_code;width_mm;length_mm;unit;price
16314397;1;1;1;16314397.jpg;1;2800;145000;мм;1576
17812558;1;2;2;17812558.jpg;2;2200;100000;мм;281
16306418;2;3;2;16306418.jpg;3;2800;1000;мм;698
16306400;3;4;1;16306400.jpg;3;2800;1000;мм;698
16306397;3;3;1;16306397.jpg;3;2800;1000;мм;698
15113729;4;2;4;15113729.jpg;4;2800;1000;мм;710
18475717;5;3;4;18475717.jpg;4;2800;1000;мм;714
18475688;6;5;4;18475688.jpg;5;2800;1000;мм;714
16306311;7;3;5;16306311.jpg;3;2800;1000;мм;732
16246574;8;6;6;16246574.jpg;4;2800;1000;мм;733
16246566;8;5;6;16246566.jpg;4;2800;1000;мм;733
15113833;9;7;7;15113833.jpg;4;2800;1000;мм;736
16174890;10;8;5;16174890.jpg;6;2800;1000;мм;750
16174814;11;1;5;16174814.jpg;6;2800;1000;мм;750
16174769;10;9;7;16174769.jpg;6;2800;1000;мм;750
16174646;12;10;8;16174646.jpg;6;2800;1000;мм;750
16174638;12;10;5;16174638.jpg;6;2800;1000;мм;750
16174611;13;11;7;16174611.jpg;4;2800;1000;мм;750
16174603;10;12;5;16174603.jpg;6;2800;1000;мм;750
16174574;14;13;5;16174574.jpg;4;3000;1000;мм;750
16174507;15;11;7;16174507.jpg;4;2800;1000;мм;750
16174401;15;14;7;16174401.jpg;4;2800;1000;мм;750
16174371;13;15;7;16174371.jpg;4;2800;1000;мм;750
16174347;16;16;7;16174347.jpg;4;2800;1000;мм;750
16313976;17;17;6;16313976.jpg;4;2950;1000;мм;756
16246697;18;18;6;16246697.jpg;4;2800;1000;мм;758
16240877;19;5;6;16240877.jpg;4;3000;1000;мм;763
16240851;19;6;6;16240851.jpg;4;3000;1000;мм;763
16246751;20;19;1;16246751.jpg;4;2800;1000;мм;779
16246742;20;17;1;16246742.jpg;4;2800;1000;мм;779
16246654;21;20;6;16246654.jpg;4;2800;1000;мм;782
16246371;21;17;6;16246371.jpg;4;2800;1000;мм;782
16246638;22;5;6;16246638.jpg;4;2800;1000;мм;804
16246929;23;21;6;16246929.jpg;4;2800;1000;мм;808
16241079;24;22;6;16241079.jpg;4;2800;1000;мм;827
17835872;25;3;7;17835872.jpg;3;2900;1000;мм;833
16238831;26;19;7;16238831.jpg;4;2800;1000;мм;833
16238822;26;6;7;16238822.jpg;4;2800;1000;мм;833
16246689;24;14;6;16246689.jpg;4;2800;1000;мм;871
15113850;27;6;4;15113850.jpg;4;2800;1000;мм;891
17835848;28;3;5;17835848.jpg;3;2900;1000;мм;912
16304316;29;4;8;16304316.jpg;7;2850;1000;мм;918
16238849;30;6;4;16238849.jpg;4;2800;1000;мм;945
16264457;31;6;1;16264457.jpg;4;2800;1000;мм;953
16246777;32;17;1;16246777.jpg;4;2800;1000;мм;958
16246769;32;6;1;16246769.jpg;4;2800;1000;мм;958
16308448;32;4;6;16308448.jpg;4;3050;1000;мм;971
16314311;33;8;7;16314311.jpg;4;2700;1000;мм;973
16246700;34;23;6;16246700.jpg;4;2800;1000;мм;978
16246881;35;14;6;16246881.jpg;4;2800;1000;мм;978
16246873;35;7;6;16246873.jpg;4;2800;1000;мм;978
16246865;35;16;6;16246865.jpg;4;2800;1000;мм;978
16246857;35;24;6;16246857.jpg;4;2800;1000;мм;978
16246726;35;17;6;16246726.jpg;4;2800;1000;мм;978
18475733;36;20;4;18475733.jpg;4;2800;1000;мм;978
16314039;37;2;6;16314039.jpg;4;2900;1000;мм;984
17943486;38;8;6;17943486.jpg;4;3000;1000;мм;987
16246945;34;8;6;16246945.jpg;4;2800;1000;мм;992
16246734;34;19;6;16246734.jpg;4;2800;1000;мм;992
18339441;39;21;4;18339441.jpg;4;2900;1000;мм;998
18339424;40;21;4;18339424.jpg;4;2900;1000;мм;998
18339408;41;21;4;18339408.jpg;4;2900;1000;мм;998
18339387;42;19;4;18339387.jpg;4;2900;1000;мм;998
18339459;43;23;6;18339459.jpg;4;2900;1000;мм;998
18339432;44;25;4;18339432.jpg;4;2900;1000;мм;998
18339416;45;23;4;18339416.jpg;4;2900;1000;мм;998
18339395;46;1;4;18339395.jpg;4;2900;1000;мм;998
18339379;47;21;4;18339379.jpg;4;2900;1000;мм;998
16246902;32;19;4;16246902.jpg;4;2800;1000;мм;1001
16240965;19;6;6;16240965.jpg;4;3000;1000;мм;1018
17066313;48;26;7;17066313.jpg;4;2800;1000;мм;1020
17066196;49;27;4;17066196.jpg;4;2800;1000;мм;1020
17066049;50;10;8;17066049.jpg;8;2800;1000;мм;1020
17066022;51;10;8;17066022.jpg;4;2800;1000;мм;1020
17065919;52;10;5;17065919.jpg;8;2800;1000;мм;1020
17065898;53;10;5;17065898.jpg;8;2800;1000;мм;1020
17065871;54;28;8;17065871.jpg;8;2800;1000;мм;1020
17065847;55;29;9;17065847.jpg;4;2800;1000;мм;1020
17065812;56;16;7;17065812.jpg;8;3000;1000;мм;1020
17065783;57;11;7;17065783.jpg;8;2800;1000;мм;1020
17065732;58;4;6;17065732.jpg;8;2800;1000;мм;1020
17066305;59;30;4;17066305.jpg;4;2800;1000;мм;1020
17066250;60;27;7;17066250.jpg;4;2800;1000;мм;1020
17066225;61;31;7;17066225.jpg;4;2800;1000;мм;1020
17066170;62;32;7;17066170.jpg;4;2800;1000;мм;1020
17066031;63;10;8;17066031.jpg;8;2800;1000;мм;1020
17066014;64;10;8;17066014.jpg;8;2800;1000;мм;1020
17065927;65;10;9;17065927.jpg;8;2800;1000;мм;1020
17065901;66;10;8;17065901.jpg;8;2800;1000;мм;1020
17065880;67;10;8;17065880.jpg;8;2800;1000;мм;1020
17065855;68;28;8;17065855.jpg;8;2800;1000;мм;1020
17065821;69;10;8;17065821.jpg;8;2800;1000;мм;1020
17065804;70;11;7;17065804.jpg;8;2800;1000;мм;1020
17065767;58;1;6;17065767.jpg;8;2800;1000;мм;1020
17065708;58;33;6;17065708.jpg;8;2800;1000;мм;1020
17064932;71;10;7;17064932.jpg;8;2800;1000;мм;1020
16306354;72;3;7;16306354.jpg;4;2800;1000;мм;1045
16174937;73;8;4;16174937.jpg;4;2800;1000;мм;1063
16174929;74;8;6;16174929.jpg;9;2800;1000;мм;1063
16174662;73;29;6;16174662.jpg;9;2800;1000;мм;1063
16174654;73;19;6;16174654.jpg;9;2800;1000;мм;1063
16314055;75;6;6;16314055.jpg;4;3000;1000;мм;1072
16306338;76;3;4;16306338.jpg;3;2800;1000;мм;1080
16306320;76;5;6;16306320.jpg;3;2800;1000;мм;1080
16306346;77;3;4;16306346.jpg;3;2800;1000;мм;1104
16238435;78;7;4;16238435.jpg;4;2800;1000;мм;1104
14201890;79;31;6;14201890.jpg;4;2800;1000;мм;1111
14201882;80;17;6;14201882.jpg;4;2800;1000;мм;1111
16264490;81;19;4;16264490.jpg;4;2800;1000;мм;1168
17835928;82;3;4;17835928.jpg;3;2900;1000;мм;1173
17835936;82;34;4;17835936.jpg;3;2900;1000;мм;1173
17835856;83;5;4;17835856.jpg;3;2900;1000;мм;1173
16246785;32;19;4;16246785.jpg;4;2800;1000;мм;1185
16264617;84;20;6;16264617.jpg;4;2800;1000;мм;1187
16264570;85;35;6;16264570.jpg;4;2800;1000;мм;1187
17835961;86;3;6;17835961.jpg;3;2900;1000;мм;1188
17835944;87;3;4;17835944.jpg;3;2900;1000;мм;1188
17835901;88;3;4;17835901.jpg;3;2900;1000;мм;1188
16306371;89;5;6;16306371.jpg;3;2800;1000;мм;1188
16306362;89;3;4;16306362.jpg;4;2800;1000;мм;1188
16342531;90;19;6;16342531.jpg;1;2800;1000;мм;120
16342523;91;31;6;16342523.jpg;1;2800;1000;мм;120
16342515;92;36;6;16342515.jpg;1;2800;1000;мм;120
16280377;93;37;6;16280377.jpg;1;1500;1000;мм;133
16280369;93;17;6;16280369.jpg;1;1500;1000;мм;133
16280342;93;38;6;16280342.jpg;1;1500;1000;мм;133
16280318;93;20;6;16280318.jpg;1;1500;1000;мм;158
16280300;93;39;6;16280300.jpg;1;1500;1000;мм;158
16280297;93;40;6;16280297.jpg;1;1500;1000;мм;158
16238523;94;31;10;16238523.jpg;1;2800;1000;мм;238
16238515;94;41;10;16238515.jpg;1;2800;1000;мм;238
16238507;95;19;1;16238507.jpg;1;1450;1000;мм;238
16238494;95;17;1;16238494.jpg;1;1450;1000;мм;238
16238486;95;6;1;16238486.jpg;1;1450;1000;мм;238
14202500;96;29;7;14202500.jpg;1;2800;1000;мм;241
14202463;97;42;11;14202463.jpg;1;2800;1000;мм;241
16304383;98;30;12;16304383.jpg;1;2800;1000;мм;243
16238347;96;11;7;16238347.jpg;1;2800;1000;мм;243
16238339;95;8;1;16238339.jpg;1;1450;1000;мм;245
16238291;96;7;7;16238291.jpg;1;2800;1000;мм;256
15113711;99;14;13;15113711.jpg;1;2800;1000;мм;258
16240498;100;6;6;16240498.jpg;1;3000;1000;мм;271
16240480;100;5;6;16240480.jpg;1;3000;1000;мм;271
15113761;101;8;14;15113761.jpg;1;1500;1000;мм;287
