batch_id;fitting_article;quantity
1;GB1114;10
2;GB1146;10
3;GB1220;10
4;GB1271;10
5;GB1228;10
6;GB1115;10
7;GB1226;10
8;GB1217;10
9;MP015;10
10;MP025;10
11;GB1281;10
12;GB1138;10
13;GB1152;10
14;MP022;10
15;GB1151;10
16;MP017;10
17;GB1230;10
18;MP030;10
19;MP026;10
20;MP029;10
21;GB1284;10
22;MP020;10
23;GB1150;10
24;MP014;10
25;GB1605;10
26;GB1403;10
27;GB1259;10
28;GB1397;10
29;GB1218;10
30;GB1400;10
31;MP021;10
32;MP023;10
33;GB1287;10
34;GB1292;10
35;GB1604;10
36;MP016;10
37;GB1270;10
38;MP035;10
39;GB1483;10
40;GB1286;10
41;GB1341;10
42;GB1411;10
43;GB1258;10
44;GP1129;10
45;GB1412;10
46;GB1277;10
47;GB1302;10
48;GB1285;10
49;MP027;10
50;GB1121;10
51;GB1290;10
52;GB1135;10
53;GB1545;10
54;GB1395;10
55;GB1492;10
56;GB1171;10
57;GB1488;10
58;GB1155;10
59;GB1343;10
60;GB1282;10
61;GB1283;10
62;MP018;10
63;GB1204;10
64;GB1598;10
65;GB1482;10
66;GB1491;10
67;GB1156;10
68;GB1591;10
69;GB1495;10
70;GB1191;10
71;MP038;10
72;GB1420;10
73;GB1490;10
74;GB1291;10
75;GB1396;10
76;GB1445;10
77;GB1409;10
78;GB1408;10
79;GB1340;10
80;GB1342;10
81;51300;10
82;MP032;10
83;GB1193;10
84;GB1539;10
85;GB1414;10
86;GB1540;10
87;GB1231;10
88;GB1538;10
89;GB1586;10
90;51307;10
91;GB1500;10
92;GB1499;10
93;GB1418;10
94;GB1597;10
95;GB1203;10
96;GB1186;10
97;GB1584;10
98;51309;10
99;GB1404;10
100;GB1501;10
101;GB1507;10
102;GB1136;10
103;GB1537;10
104;GB1124;10
105;GB1223;10
106;GB1215;10
107;51306;10
108;GB1202;10
109;GB1201;10
110;51301;10
111;GB1552;10
112;GB1590;10
113;MP005;10
114;GB1293;10
115;MP008;10
116;GB1288;10
117;MP003;10
118;GB1535;10
119;51305;10
120;ЦВ1;10
121;PK-03;10
122;8341;10
123;64120;10
124;CB1-01;10
125;CB1-02;10
126;CB1-03;10
127;CB1-04;10
128;GB-1161;10
129;GH-1001;10
130;GH-1004;10
131;GH-1005;10
132;GH-1007;10
133;GH-1008;10
134;GH-1009;10
135;GH-1010;10
136;GH-1012;10
137;GH-1013;10
138;GH-1014;10
139;GH-1015;10
140;GH-1016;10
141;GH-1017;10
142;GH-1018;10
143;GH-1020;10
144;GH-1021;10
145;GH-1023;10
146;GH-1026;10
147;GH-1027;10
148;GH-1028;10
149;GH-1029;10
150;GH-1030;10
151;GH-1031;10
152;GH-1033;10
153;GH-1035;10
154;GH-1035;10
155;GH-1036;10
156;GH-1037;10
157;GH-1038;10
158;GH-1039;10
159;GH-1047;10
