article;name;width_mm;length_mm;dimension_unit;weight_value;weight_unit;type_code;image_path;price
GB1114;ПРЯЖКА МАГНИТНЫЙ ЗАМОК «MICRON»;32.0;17.0;мм;0;гр;1;GB1114.jpg;143.00
GB1146;ПРЯЖКА ЗАМОК «MICRON»;39.0;33.0;мм;0;гр;1;GB1146.jpg;154.00
GB1220;ПРЯЖКА «MICRON»;25.0;25.0;мм;0;гр;1;GB1220.jpg;55.00
GB1271;ПРЯЖКА «MICRON»;60.0;20.0;мм;0;гр;1;GB1271.jpg;177.00
GB1228;ПРЯЖКА «MICRON»;32.0;38.0;мм;0;гр;1;GB1228.jpg;122.00
GB1115;ПРЯЖКА «MICRON»;35.0;12.0;мм;0;гр;2;GB1115.jpg;181.00
GB1226;ПРЯЖКА «MICRON»;37.0;25.0;мм;0;гр;2;GB1226.jpg;45.00
GB1217;ПРЯЖКА «MICRON»;32.0;27.0;мм;0;гр;1;GB1217.jpg;60.00
MP015;ШЛЕВКА СК;60.0;39.0;мм;0;гр;3;MP015.jpg;30.00
MP025;ШЛЕВКА СК;67.0;67.0;мм;0;гр;3;MP025.jpg;44.00
GB1281;ПРЯЖКА «MICRON»;26.0;23.0;мм;0;гр;1;GB1281.jpg;64.00
GB1138;ПРЯЖКА С ОРНАМЕНТОМ «MICRON»;45.0;35.0;мм;0;гр;1;GB1138.jpg;111.00
GB1152;ПРЯЖКА ПРЯМОУГОЛЬНАЯ «MICRON»;40.0;32.0;мм;0;гр;2;GB1152.jpg;140.00
MP022;ШЛЕВКА СК;66.0;40.0;мм;0;гр;3;MP022.jpg;37.00
GB1151;ПРЯЖКА ПРЯМОУГОЛЬНАЯ «MICRON»;60.0;45.0;мм;0;гр;1;GB1151.jpg;173.00
MP017;ШЛЕВКА СК;50.0;46.0;мм;0;гр;3;MP017.jpg;30.00
GB1230;ПРЯЖКА «MICRON»;50.0;35.0;мм;0;гр;1;GB1230.jpg;84.00
MP030;ШЛЕВКА СК;45.0;45.0;мм;0;гр;3;MP030.jpg;65.00
MP026;ШЛЕВКА СК;55.0;55.0;мм;0;гр;3;MP026.jpg;37.00
MP029;ШЛЕВКА СК;70.0;70.0;мм;0;гр;3;MP029.jpg;104.00
GB1284;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;55.0;45.0;мм;0;гр;1;GB1284.jpg;395.00
MP020;ШЛЕВКА СК;68.0;44.0;мм;0;гр;3;MP020.jpg;41.00
GB1150;ШЛЕВКА ПРЯМОУГОЛЬНАЯ СК;84.0;50.0;мм;0;гр;1;GB1150.jpg;242.00
MP014;ШЛЕВКА СК;61.0;71.0;мм;0;гр;3;MP014.jpg;51.00
GB1605;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;60.0;52.0;мм;0;гр;1;GB1605.jpg;382.00
GB1403;ПРЯЖКА «MICRON»;35.0;40.0;мм;0;гр;1;GB1403.jpg;100.00
GB1259;ПРЯЖКА «MICRON» СК;60.0;60.0;мм;0;гр;1;GB1259.jpg;118.00
GB1397;ПРЯЖКА СО СТРАЗАМИ «MICRON»;32.0;32.0;мм;0;гр;1;GB1397.jpg;67.00
GB1218;ПРЯЖКА «MICRON» СК;57.0;30.0;мм;0;гр;1;GB1218.jpg;53.00
GB1400;ПРЯЖКА СО СТРАЗАМИ «MICRON»;30.0;15.0;мм;0;гр;2;GB1400.jpg;66.00
MP021;ШЛЕВКА «MICRON» СК;67.0;67.0;мм;0;гр;3;MP021.jpg;58.00
MP023;ШЛЕВКА «MICRON» СК;61.0;41.0;мм;0;гр;3;MP023.jpg;34.00
GB1287;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;60.0;45.0;мм;0;гр;1;GB1287.jpg;445.00
GB1292;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;65.0;37.0;мм;0;гр;1;GB1292.jpg;228.00
GB1604;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;64.0;52.0;мм;0;гр;1;GB1604.jpg;342.00
MP016;ПРЯЖКА «MICRON» СК;70.0;89.0;мм;0;гр;1;MP016.jpg;69.00
GB1270;ПРЯЖКА «MICRON»;26.0;26.0;мм;0;гр;1;GB1270.jpg;77.00
MP035;ПРЯЖКА «MICRON» СК;72.0;83.0;мм;0;гр;1;MP035.jpg;68.00
GB1483;ПРЯЖКА «MICRON» СК;47.0;35.0;мм;0;гр;1;GB1483.jpg;58.00
GB1286;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;70.0;45.0;мм;0;гр;1;GB1286.jpg;473.00
GB1341;ПРЯЖКА СО СТРАЗАМИ ДЛЯ ЖЕНСКОГО РЕМНЯ «MICRON»;71.0;67.0;мм;0;гр;1;GB1341.jpg;170.00
GB1411;ПРЯЖКА СО СТРАЗАМИ «MICRON»;30.0;22.0;мм;0;гр;1;GB1411.jpg;80.00
GB1258;ПРЯЖКА «MICRON» СК;75.0;75.0;мм;0;гр;1;GB1258.jpg;168.00
GP1129;ПРЯЖКА СО СТРАЗАМИ «MICRON»;22.0;16.0;мм;0;гр;1;GP1129.jpg;65.00
GB1412;ПРЯЖКА СО СТРАЗАМИ «MICRON»;30.0;45.0;мм;0;гр;1;GB1412.jpg;79.00
GB1277;ПРЯЖКА «MICRON»;32.0;34.0;мм;0;гр;1;GB1277.jpg;81.00
GB1302;ПРЯЖКА СО СТРАЗАМИ «MICRON»;25.0;30.0;мм;0;гр;1;GB1302.jpg;155.00
GB1285;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;50.0;40.0;мм;0;гр;1;GB1285.jpg;418.00
MP027;ПРЯЖКА «MICRON»;91.0;91.0;мм;0;гр;1;MP027.jpg;114.00
GB1121;ПРЯЖКА СО СТРАЗАМИ ДЕКОРАТИВНАЯ «MICRON»;12.0;16.0;мм;0;гр;1;GB1121.jpg;17.00
GB1290;ПРЯЖКА ДЛЯ МУЖСКОГО РЕМНЯ «MICRON»;65.0;37.0;мм;0;гр;1;GB1290.jpg;215.00
GB1135;ПРЯЖКА СО СТРАЗАМИ «СЕРДЦЕ» «MICRON»;40.0;20.0;мм;0;гр;1;GB1135.jpg;181.00
GB1545;ПРЯЖКА «MICRON»;44.0;32.0;мм;0;гр;1;GB1545.jpg;142.00
GB1395;ПРЯЖКА СО СТРАЗАМИ «MICRON»;44.0;44.0;мм;0;гр;1;GB1395.jpg;112.00
GB1492;ПРЯЖКА «MICRON»;62.0;42.0;мм;0;гр;1;GB1492.jpg;119.00
GB1171;ПРЯЖКА СО СТРАЗАМИ «MICRON»;30.0;30.0;мм;0;гр;1;GB1171.jpg;133.00
GB1488;ПРЯЖКА «MICRON»;55.0;67.0;мм;0;гр;1;GB1488.jpg;247.00
GB1155;ПРЯЖКА СО СТРАЗАМИ «MICRON»;50.0;50.0;мм;0;гр;1;GB1155.jpg;230.00
GB1343;ПРЯЖКА ДЛЯ ЖЕНСКОГО РЕМНЯ «MICRON»;66.0;50.0;мм;0;гр;1;GB1343.jpg;123.00
GB1282;ПРЯЖКА ПОДКОВА «MICRON»;35.0;50.0;мм;0;гр;1;GB1282.jpg;60.00
GB1283;ПРЯЖКА «MICRON»;30.0;40.0;мм;0;гр;1;GB1283.jpg;188.00
MP018;ПРЯЖКА «MICRON»;80.0;80.0;мм;0;гр;1;MP018.jpg;58.00
GB1204;ПРЯЖКА СО СТРАЗАМИ «MICRON»;45.0;61.0;мм;0;гр;1;GB1204.jpg;409.00
GB1598;ПРЯЖКА «MICRON»;25.0;25.0;мм;0;гр;1;GB1598.jpg;85.00
GB1482;ПРЯЖКА «MICRON»;42.0;33.0;мм;0;гр;1;GB1482.jpg;67.00
GB1491;ПРЯЖКА «MICRON»;77.0;61.0;мм;0;гр;1;GB1491.jpg;293.00
GB1156;ПРЯЖКА СО СТРАЗАМИ «MICRON»;35.0;35.0;мм;0;гр;1;GB1156.jpg;280.00
GB1591;ПРЯЖКА СО СТРАЗАМИ «MICRON»;32.0;32.0;мм;0;гр;1;GB1591.jpg;191.00
GB1495;ПРЯЖКА СО СТРАЗАМИ «MICRON»;47.0;44.0;мм;0;гр;1;GB1495.jpg;207.00
GB1191;ПРЯЖКА СО СТРАЗАМИ «MICRON»;20.0;35.0;мм;0;гр;1;GB1191.jpg;89.00
