id;name
1;Пряжка
2;Пряжка 
3;Шлевка
4;Люверсы
5;Блочки
6;Фурнитура для одежды
7;Фурнитура для одежды105
8;Бусины, бисер
9;Нитки
10;Тесьма
11;Нашивка
12;Пуговица круглая
13;Застежка
14;Булавка
15;Цепочка декоративная
16;Хольнитены
17;Заготовки для ремня
18;Стразы
19;Концевик
20;Зажимы
21;Кольцо
22;Фурнитура для бюстгальтеров
23;Бретели
24;Бахрома
25;Вешалка
26;Крючок
27;Кисть
28;Лента
29;с крючком
30;с кольцом
31;зажим с крючком
32;Лента 
33;зажим 
34;Подхват
35;
36;кисточка
37;Зажим
38;Шнур
39;сумочная
40;Ручки
41;рамка
42;карабин
43; Ручки
44; Карабин
45;полукольцо
46;фастекс
47;крепление
48;ножницы
49;пуговица
50;Бубенцы
51;Молния
52;Кружево
53;Бейлы, держатели для кулонов
54;Рамочки, сеттинги
55;Швензы, пуссеты, основы для серег
56;Заколки, ободки и др. для волос
57; Кримпы, зажимы, каллоты
58;Кримпы, зажимы, каллоты
59;Закладки для книг
60;Шипы, заклепки
61;Замки, тогглы, крючки
62;Колечки металлические
63;Коннекторы, разделители
64;Основы для браслетов, колье
65;Основы для брошей
66;Основы для колец
67;Пины, штифты
68;Подвески металлические
69;Шапочки для бусин, концевики
70;Регилин мягкий
71;Регилин 
72;Кружева
73;Пайетки
74;Регилин
