article;name;width_mm;length_mm;unit;price;image_path;comment
15030430;Скатерть;2000;2000;мм;0;15030430.jpg;
15030780;Салфетка;400;400;мм;0;15030780.jpg;
4,02163E+12;Полотенце махровое;700;1400;мм;0;4021626271366.jpg;
4,02163E+12;Полотенце махровое;500;1000;мм;0;4021626271359.jpg;
4,02163E+12;Полотенце махровое RIO;700;1400;мм;0;4021626271304.jpg;
4,02163E+12;Полотенце махровое RIO;500;1000;мм;0;4021626271298.jpg;
4,02163E+12;Полотенце махровое RIO (красный);700;1400;мм;0;4021626271267.jpg;
4,02163E+12;Полотенце махровое RIO (красный);500;1000;мм;0;4021626271666.jpg;
4,02163E+12;"Полотенце махровое ""Любимый дом""";450;800;мм;0;4021626271666.jpg;
6,66163E+12;Полотенце палитра;500;900;мм;0;6661626271666.jpg;
6,69963E+12;Полотенце махровое;500;900;мм;0;6699626271666.jpg;
4,02161E+12;"Подушка стеганная ""Сова""";500;700;мм;0;4021612121666.jpg;
4,0219E+12;Одеяло комфорт Лайн;1400;2050;мм;0;4021898921666.jpg;
4,0219E+12;Одеяло Вин;1400;2050;мм;0;4021898999666.jpg;
4,0999E+12;Одеяло Стеганное;1400;2050;мм;0;4099898999666.jpg;
4,0999E+12;Покрывало;1500;2000;мм;0;4099898111666.jpg;
4,09956E+12;Одеяло FASHION FANTASY;1400;2050;мм;0;4099558111666.jpg;
4,09955E+12;Подушка FASHION FANTASY;700;700;мм;0;4099554441666.jpg;
4,09951E+12;"Одеяло ЗИМНЕЕ ""ВЕРБЛЮЖЬЯ ШЕРСТЬ""";1400;2050;мм;0;4099511441666.jpg;
4,02222E+12;Полотенце махровое Г/К;700;1400;мм;0;4022221441666.jpg;
4,02163E+12;Полотенце махровое BERLIN UNI ВАНИЛЬ;700;1400;мм;0;4021626123757.jpg;
4,02163E+12;Полотенце махровое BERLIN UNI ВАНИЛЬ;500;700;мм;0;4021626123740.jpg;
4,02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕРРАКОТ;700;1400;мм;0;4021626052033.jpg;
4,02993E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕРРАКОТ;500;700;мм;0;4029926052033.jpg;
4,02163E+12;Полотенце махровое RIO UNI VOLLFARBIG КРАСНЫЙ;700;1400;мм;0;4021626270932.jpg;
4,02163E+12;Полотенце махровое RIO UNI VOLLFARBIG КРАСНЫЙ;500;700;мм;0;4021626270925.jpg;
4,02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕМНО-СИНИЙ;700;1400;мм;0;4021626270970.jpg;
4,02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕМНО-СИНИЙ;500;700;мм;0;4021629970970.jpg;
4,02163E+12;Полотенце махровоеRIO UNI VOLLFARBIG СИНИЙ;700;1400;мм;0;4021626270956.jpg;
